0	0	178
1	1	109
2	2	15
3	3	103
4	4	149
5	5	11
6	6	78
7	7	35
8	8	151
9	9	143
A	10	243
B	11	72
C	12	160
D	13	214
E	14	167
F	15	101
G	16	53
H	17	3
J	18	186
K	19	88
L	20	71
M	21	236
N	22	215
P	23	113
Q	24	47
R	25	219
S	26	57
T	27	227
U	28	145
V	29	217
W	30	250
X	31	208
Y	32	224
Z	33	69
皖	34	211
桂	35	251
贵	36	22
粤	37	176
甘	38	90
京	39	210
冀	40	112
闽	41	56
渝	42	209
琼	43	18
吉	44	189
赣	45	10
豫	46	68
黑	47	213
湘	48	19
苏	49	97
辽	50	237
蒙	51	4
宁	52	32
沪	53	164
浙	54	24
青	55	16
鄂	56	86
津	57	255
陕	58	44
新	59	46
鲁	60	119
云	61	36
川	62	106
藏	63	84
晋	64	14
底牌 65	89
